Actions,"Các hoạt động"
"An error occurred while marking notification as read.","Lỗi trong khi đánh dấu thông báo đã đọc."
"An error occurred while marking the messages as read.","Lỗi trong khi đánh dấu tin nhắn đã đọc."
"An error occurred while removing messages.","Lỗi trong khi loại bỏ tin nhắn."
"An error occurred while removing the message.","Lỗi trong khi loại bỏ tin nhắn."
"Are you sure?","Quý khách có chắc chắn không?"
critical,"quan trọng"
"Date Added","Ngày thêm vào"
"//Được dịch bởi Nguyễn Thái Sơn"," STC"
"//Email: sonntstc@gmail.com. Website: http://sonntstc.vze.com","@FIXME: // Email: sonntstc@gmail.com.  Website: http://sonntstc.vze.com"
"Error while marking as read. Please try again later.","Lỗi khi đang đánh dấu đã đọc. Bạn vui lòng thử lại sau"
"Error while marking. Please try again later.","Lỗi khi đang đánh dấu. Vui lòng thử lại sau."
"Error while removing. Please try again later.","Lỗi khi đang xóa. Vui lòng thử lại sau"
,"@FIXME: "
"Last Update","Cập nhật mới nhất"
"Last update","Lần cập nhật cuối"
major,"chính yếu"
"Mark as read","Đánh dấu đã đọc"
"Mark as Read","Đánh dấu đã đọc"
"//Mã số phát triển: STCMeCOM1 (STC Magento eCommerce version 2012.1.0) dựa trên phiên bản Magento Community 1.7","@FIXME: // Mã zero developers: STCMeCOM1 ( STC Magento phiên bản Thương mại điện tử 2012.1.0 ) based on the version Magento Community 1.7"
"Messages Inbox","Hộp thư đến"
Message,"Tin nhắn"
"Message was successfully marked as read","Tin nhắn đã được đánh dấu đã đọc"
"Message was successfully removed","Tin nhắn đã được xóa"
minor,"thứ yếu"
notice,"thông báo"
Notifications,"Các thông báo"
"Please select messages","Vui lòng lựa chọn thư"
"Please select messages.","Xin chọn các tin nhắn."
"Read Details","Xem chi tiết"
Remove,Xóa
Severity,"Mức độ nghiêm trọng"
"Show List","Xem danh sách"
"Show Toolbar","Xem toolbar"
"The message has been marked as read.","Tin nhắn được đánh dấu đã đọc."
"The message has been removed.","Tin nhắn đã được loại bỏ."
"Total of %d record(s) have been marked as read.","Tổng số %d (các) bản ghi được đánh dấu đã đọc."
"Total of %d record(s) have been removed.","Tổng số %d (các) bản ghi đã được loại bỏ."
"Total of %d record(s) were successfully marked as read","Tổng số %d bản ghi đã đánh đã đã đọc"
"Total of %d record(s) were successfully removed","Tổng số %d bản ghi đã được xóa"
"Unable to proceed. Please, try again","Không thể thực hiện. Vui lòng thử lại"
"Unable to proceed. Please, try again.","Không thể thực hiện. Xin thử lại."
"Update Frequency","Tần suất cập nhật"
"Update frequency","Tần xuất cập nhật"
"Use HTTPS to get feed","Sử dụng HTTPS để lấy feed"
"Use HTTPS to Get Feed","Sử dụng HTTPS để nhận Feed"
"Wrong message type","Lỗi loại tin nhắn"
