"Alert Email Sender","Thông báo người gửi Email"
"Alert subscription has been saved.","@FIXME: Thuê bao cảnh báo đã được lưu."
"Alert subscription was deleted successfully","Thông báo đăng ký nhận đã xóa thành công"
"Alert subscription was saved successfully","Thông báo đăng ký đã xóa thành công"
"Allow alert when product comes back in stock","Cho phép thông báo khi có hàng"
"Allow Alert When Product Comes Back in Stock","@FIXME: Cho phép Alert Khi sản phẩm Comes Trở lại trong kho"
"Allow alert when product price changes","Cho phép thông báo khi giá hàng thay đổi"
"Allow Alert When Product Price Changes","@FIXME: Cho phép Alert Khi Sản phẩm Giá Thay đổi"
"Click here not to receive alerts for this product","Click vào đây để không nhận thông báo cho sản phẩm này"
"Error Email Recipient","Lỗi Email người nhận"
"Error Email Sender","Lỗi Email người gửi"
"Error Email Template","Lỗi mẫu Email"
Frequency,"Tần suất"
"Not enough parameters.","@FIXME: Không đủ các thông số."
"Not enough parameters","Không đủ các thông số"
"Please try again later","Vui lòng thử lại sau"
"Price Alert Email Template","@FIXME: Giá Alert Email Template"
"Price alert Email Template","Mẫu Email thông báo giá"
Price:,Giá:
"Product alerts Cron error","Cron thông báo sản phẩm lỗi"
"Product Alerts Run Settings","Thông báo sản phẩm chạy cài đặt"
"Product Alerts","Thông báo sản phẩm"
"Product not found","Sản phẩm không tìm thấy"
"Product price alert","Thông báo giá sản phẩm"
"Product stock alert","Thông báo có hàng"
"Regular Price:","@FIXME: Thường xuyên Giá:"
"Sign up for price alert","Đăng ký nhận báo giá"
"Sign up to get notified when this product is back in stock","Đăng ký nhận thông báo khi có sản phẩm này"
"Special price:","Giá đặc biệt:"
"Start Time","Thời gian bắt đầu"
"Stock Alert Email Template","@FIXME: Cổ Alert Email Template"
"Stock alert Email Template","Mẫu Email thông báo có hàng"
"The alert subscription has been deleted.","@FIXME: Các thuê bao cảnh báo đã bị xóa."
"The alert subscription has been saved.","@FIXME: Các thuê bao cảnh báo đã được lưu."
"The product is not found.","@FIXME: Sản phẩm này không được tìm thấy."
"The product was not found.","@FIXME: Sản phẩm này không được tìm thấy."
"Unable to update the alert subscription.","@FIXME: Không thể cập nhật các thuê bao cảnh báo."
"Unsubscribe from all price alerts","Bỏ nhận thông báo từ tất cả các báo giá"
"Unsubscribe from all stock alerts","Bỏ nhận thông báo tất cả các hàng về"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Bạn đang nhận thông báo này vì bạn đăng ký nhận thông báo khi có hàng về:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Bạn đang nhận thông báo này vì bạn đăng ký nhận thông báo khi các sản phẩm này đổi giá:"
"You will no longer receive price alerts for this product","Bạn sẽ không nhận báo giá cho sản phẩm này"
"You will no longer receive price alerts for this product.","@FIXME: Bạn sẽ không còn nhận được thông báo giá cho sản phẩm này."
"You will no longer receive stock alerts","Bạn sẽ không nhận thông báo khi có hàng"
"You will no longer receive stock alerts.","@FIXME: Bạn sẽ không còn nhận được thông báo cổ phiếu."
"You will no longer receive stock alerts for this product","Bạn sẽ không nhận thông báo khi có hàng về cho sản phẩm này"
"You will no longer receive stock alerts for this product.","@FIXME: Bạn sẽ không còn nhận được thông báo chứng khoán cho sản phẩm này."
